model,cluster,n,model_brier_sum,market_brier_sum
ecmwf_proxy_kalman,istanbul/2026-07-19,29,5.496805499999999,1.7794404242163848
ecmwf_proxy_kalman,istanbul/2026-07-20,29,5.0133814999999995,6.729639298851386
ecmwf_proxy_kalman,istanbul/2026-07-21,28,12.392669,14.48621577952483
ecmwf_proxy_kalman,istanbul/2026-07-22,29,29.561817,27.714107588616596
ecmwf_proxy_kalman,istanbul/2026-07-23,29,5.4044455,7.095839199727598
ecmwf_proxy_kalman,istanbul/2026-07-24,29,5.1600435,3.7605870532112258
ecmwf_proxy_kalman,istanbul/2026-07-25,29,0.1396045,3.6476634124619207
ecmwf_proxy_kalman,istanbul/2026-07-26,29,13.9862535,11.375267553241757
ecmwf_proxy_kalman,istanbul/2026-07-27,29,17.4200875,11.353564352393017
ecmwf_proxy_kalman,istanbul/2026-07-28,27,3.520713,3.9285958114745076
ecmwf_proxy_kalman,istanbul/2026-07-29,29,5.714302999999999,2.5644750766659428
ecmwf_proxy_kalman,istanbul/2026-07-30,29,3.3879014999999995,2.107415589476985
ecmwf_proxy_kalman,istanbul/2026-07-31,29,4.3068935,1.8652817289769306
ecmwf_proxy_kalman,istanbul/2026-08-01,29,5.7791705,2.104292960098173
ecmwf_proxy_kalman,istanbul/2026-08-02,29,13.3228115,4.83048974786985
ecmwf_proxy_kalman,istanbul/2026-08-03,29,5.978461499999999,3.586449186735372
ecmwf_proxy_kalman,istanbul/2026-08-04,29,18.4254745,22.993949060231284
ecmwf_proxy_kalman,istanbul/2026-08-05,29,10.796304999999998,15.975117166133764
ecmwf_proxy_kalman,istanbul/2026-08-06,29,7.5315449999999995,2.6247857576434566
ecmwf_proxy_kalman,istanbul/2026-08-07,29,8.556581,5.600245064164353
ecmwf_proxy_kalman,istanbul/2026-08-08,29,3.5659164999999997,2.6286988492231584
ecmwf_proxy_kalman,istanbul/2026-08-09,29,0.047583499999999966,0.7746851063874512
ecmwf_proxy_kalman,istanbul/2026-08-10,29,5.827828,2.1354516526043508
ecmwf_proxy_kalman,wellington/2026-05-12,29,11.371862,3.4379776146249172
ecmwf_proxy_kalman,wellington/2026-05-13,29,4.7867204999999995,11.804398857676867
ecmwf_proxy_kalman,wellington/2026-05-14,29,6.5963769999999995,7.919256349786457
ecmwf_proxy_kalman,wellington/2026-05-15,29,10.7566715,13.179114979259582
ecmwf_proxy_kalman,wellington/2026-05-16,29,3.2519184999999995,3.4953186224933326
ecmwf_proxy_kalman,wellington/2026-05-20,29,4.2937245,7.552587351844578
ecmwf_proxy_kalman,wellington/2026-05-21,29,10.6752615,10.302777949809396
ecmwf_proxy_kalman,wellington/2026-05-22,29,8.094061,6.605670545003566
ecmwf_proxy_kalman,wellington/2026-05-23,29,2.162236,0.38627254634332286
ecmwf_proxy_kalman,wellington/2026-05-24,29,4.511412,5.925790474623977
ecmwf_proxy_kalman,wellington/2026-05-25,29,8.2875675,3.9601853069641995
ecmwf_proxy_kalman,wellington/2026-05-26,29,3.9181640000000004,3.190282383066124
ecmwf_proxy_kalman,wellington/2026-05-27,29,5.145396,5.238893433043793
ecmwf_proxy_kalman,wellington/2026-05-28,29,11.762944500000001,14.80874210494642
ecmwf_proxy_kalman,wellington/2026-05-29,29,5.504637,4.521270947481106
ecmwf_proxy_kalman,wellington/2026-05-30,29,8.862384,5.5185165909406795
ecmwf_proxy_kalman,wellington/2026-05-31,29,7.858518999999999,5.713168642411297
ecmwf_proxy_kalman,wellington/2026-06-01,29,13.845084,9.150165698902809
ecmwf_proxy_kalman,wellington/2026-06-02,29,0.0,0.0011076172336009112
ecmwf_proxy_kalman,wellington/2026-06-03,29,6.322591,1.8760909909630417
ecmwf_proxy_kalman,wellington/2026-06-04,29,36.2674145,43.56627319327265
ecmwf_proxy_kalman,wellington/2026-06-05,29,0.0008194999999999946,0.18865947719428905
ecmwf_proxy_kalman,wellington/2026-06-06,29,17.817003,16.757622693372397
ecmwf_proxy_kalman,wellington/2026-06-07,29,6.329575999999999,5.077779340782665
ecmwf_proxy_kalman,wellington/2026-06-08,29,13.8175185,14.513934765648003
ecmwf_proxy_kalman,wellington/2026-06-09,29,2.982442,2.1417839790434408
ecmwf_proxy_kalman,wellington/2026-06-10,28,3.5333245,2.518253046169027
ecmwf_proxy_kalman,wellington/2026-06-11,29,4.8436699999999995,5.341583976918646
ecmwf_proxy_kalman,wellington/2026-06-12,29,4.280186499999999,3.650742330077254
ecmwf_proxy_kalman,wellington/2026-06-13,29,18.0150205,27.245064812019532
ecmwf_proxy_kalman,wellington/2026-06-14,29,4.5078815,3.8320874088144485
ecmwf_proxy_kalman,wellington/2026-06-15,29,5.597186000000001,3.7721745601098804
ecmwf_proxy_kalman,wellington/2026-06-16,29,10.393787,17.130451938896083
ecmwf_proxy_kalman,wellington/2026-06-17,29,15.7585745,13.015982601590215
ecmwf_proxy_kalman,wellington/2026-06-18,29,4.301104499999999,7.843227444062831
ecmwf_proxy_kalman,wellington/2026-06-19,28,28.7832985,12.740942430022855
ecmwf_proxy_kalman,wellington/2026-06-20,29,3.1215469999999996,2.389160629517047
ecmwf_proxy_kalman,wellington/2026-06-21,29,7.199999999999885e-05,0.008250610103088534
ecmwf_proxy_kalman,wellington/2026-06-22,29,9.931392,13.661876141145715
ecmwf_proxy_kalman,wellington/2026-06-23,29,5.0316114999999995,8.553289988563282
ecmwf_proxy_kalman,wellington/2026-06-24,28,9.351709,12.386063084659979
ecmwf_proxy_kalman,wellington/2026-06-25,29,6.649999999999923e-05,0.04848416862236933
ecmwf_proxy_kalman,wellington/2026-06-26,29,0.9179669999999998,0.5478742861434296
ecmwf_proxy_kalman,wellington/2026-06-27,29,10.2007975,8.215421629463926
ecmwf_proxy_kalman,wellington/2026-06-28,29,13.448825000000001,23.0616019147335
ecmwf_proxy_kalman,wellington/2026-06-29,29,3.2905049999999996,3.765622069852883
ecmwf_proxy_kalman,wellington/2026-06-30,29,8.3923365,3.428863149500266
ecmwf_proxy_kalman,wellington/2026-07-01,28,12.1677655,2.9719330088231386
ecmwf_proxy_kalman,wellington/2026-07-02,29,10.738038500000002,4.819843156225559
ecmwf_proxy_kalman,wellington/2026-07-03,29,12.4631505,8.4130408948925
ecmwf_proxy_kalman,wellington/2026-07-04,29,12.431695,16.879181800091725
ecmwf_proxy_kalman,wellington/2026-07-05,29,4.919326,1.4688335166456197
ecmwf_proxy_kalman,wellington/2026-07-06,29,9.217391999999998,14.141987471080444
ecmwf_proxy_kalman,wellington/2026-07-07,29,7.5397425,5.719146075443667
ecmwf_proxy_kalman,wellington/2026-07-08,29,5.4583075,16.185988529805545
ecmwf_proxy_kalman,wellington/2026-07-09,29,0.4581699999999998,0.13347085137857811
ecmwf_proxy_kalman,wellington/2026-07-10,29,5.157456,0.7474036473118373
ecmwf_proxy_kalman,wellington/2026-07-11,28,6.138577,1.6878448269759243
ecmwf_proxy_kalman,wellington/2026-07-12,29,9.2797195,1.7716339534208327
ecmwf_proxy_kalman,wellington/2026-07-13,29,4.172804999999999,1.3514306144710122
ecmwf_proxy_kalman,wellington/2026-07-14,29,4.145409,1.4054007114009417
ecmwf_proxy_kalman,wellington/2026-07-15,29,11.3931565,9.24700677089795
ecmwf_proxy_kalman,wellington/2026-07-16,29,8.590024000000001,3.0885073715038605
ecmwf_proxy_kalman,wellington/2026-07-17,29,16.43981,17.581198393547947
ecmwf_proxy_kalman,wellington/2026-07-18,29,10.2666545,8.399162304827028
ecmwf_proxy_kalman,wellington/2026-07-19,29,4.465289,7.085126818041033
ecmwf_proxy_kalman,wellington/2026-07-20,29,4.0296025,2.1106037584580966
ecmwf_proxy_kalman,wellington/2026-07-21,28,7.167351999999999,1.7661874892303813
ecmwf_proxy_kalman,wellington/2026-07-22,29,13.0928775,12.858944678402402
ecmwf_proxy_kalman,wellington/2026-07-23,29,4.7362455,2.3165239046242707
ecmwf_proxy_kalman,wellington/2026-07-24,29,10.0118395,7.756568814623472
ecmwf_proxy_kalman,wellington/2026-07-25,29,0.012713499999999999,0.0717866776832868
ecmwf_proxy_kalman,wellington/2026-07-26,29,5.909653499999999,3.258739800842483
ecmwf_proxy_kalman,wellington/2026-07-27,29,9.640697000000001,2.6575767268706714
ecmwf_proxy_kalman,wellington/2026-07-28,29,23.240292,22.209401906074557
ecmwf_proxy_kalman,wellington/2026-07-29,29,33.9635705,21.803792088833305
ecmwf_proxy_kalman,wellington/2026-07-30,29,8.82348,11.052941727991037
ecmwf_proxy_kalman,wellington/2026-07-31,29,17.4867925,10.706161841203947
ecmwf_proxy_kalman,wellington/2026-08-01,29,0.0006959999999999978,0.015543230257524358
ecmwf_proxy_kalman,wellington/2026-08-02,29,3.9416899999999995,13.033417574842652
ecmwf_proxy_kalman,wellington/2026-08-03,29,16.045636000000002,5.825134363648049
ecmwf_proxy_kalman,wellington/2026-08-04,29,2.9999999999998917e-06,0.018006041731977566
ecmwf_proxy_kalman,wellington/2026-08-05,29,5.0838315,1.6185490946518564
ecmwf_proxy_kalman,wellington/2026-08-06,29,5.4055705,9.739614764101871
ecmwf_proxy_kalman,wellington/2026-08-07,29,11.2160175,12.336195936603795
ecmwf_proxy_kalman,wellington/2026-08-08,29,5.665118499999999,10.07939827782069
ecmwf_proxy_kalman,wellington/2026-08-09,29,5.859459499999999,4.997451460978604
ecmwf_proxy_kalman,wellington/2026-08-10,29,8.8969485,8.429574604474503
ecmwf_proxy_kalman,wellington/2026-08-11,29,13.4000765,5.93083685336559
