cluster,valid_utc,model,metar_changed,pws_live,consistency_residual,persistence_brier,q_actual,q_brier,q_log_loss,q_top_correct,q_minus_persistence_brier
ankara/2026-05-16,2026-05-16T11:50:00+00:00,recorded_legacy,True,False,0.37416994341592347,2.0,0.22866554771340222,0.897461820884561,1.4754948333179572,0.0,-1.102538179115439
ankara/2026-05-16,2026-05-16T12:20:00+00:00,recorded_legacy,True,False,0.7403183798001918,2.0,0.22866554771340342,0.8974618208845585,1.4754948333179518,0.0,-1.1025381791154416
ankara/2026-05-16,2026-05-16T12:50:00+00:00,recorded_legacy,False,False,0.4018860588107274,0.0,0.35936424249313903,0.5712849577231732,1.0234188018106862,0.0,0.5712849577231732
ankara/2026-05-16,2026-05-16T13:20:00+00:00,recorded_legacy,False,False,0.24950582297195578,0.0,0.4993087936570239,0.3561753289973175,0.6945305496598554,1.0,0.3561753289973175
ankara/2026-05-16,2026-05-16T13:50:00+00:00,recorded_legacy,False,False,0.1812407072351091,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-05-16,2026-05-16T14:20:00+00:00,recorded_legacy,False,False,0.13333360070315925,0.0,0.7334794944925802,0.10632180672282619,0.3099556374918724,1.0,0.10632180672282619
ankara/2026-05-16,2026-05-16T14:50:00+00:00,recorded_legacy,False,False,0.13326025275371,0.0,0.7334794944925802,0.10632180672282619,0.3099556374918724,1.0,0.10632180672282619
ankara/2026-05-16,2026-05-16T15:20:00+00:00,recorded_legacy,True,False,0.13326025275371,2.0,0.132831206245149,1.3076183832176889,2.0186760827591135,0.0,-0.6923816167823111
ankara/2026-05-16,2026-05-16T15:50:00+00:00,recorded_legacy,False,False,0.0031902882881751724,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-05-16,2026-05-16T16:20:00+00:00,recorded_legacy,True,False,0.0031902882881751724,2.0,0.0031902882881751716,1.46272364332807,5.747643993800024,0.0,-0.5372763566719301
ankara/2026-05-16,2026-05-16T16:50:00+00:00,recorded_legacy,True,False,0.0,2.0,0.22866554771340347,0.8974618208845585,1.4754948333179516,0.0,-1.1025381791154416
ankara/2026-05-24,2026-05-24T11:50:00+00:00,recorded_legacy,True,False,0.5113729951415532,2.0,0.014971832873734854,1.2600697769619817,4.201584651590097,0.0,-0.7399302230380183
ankara/2026-06-10,2026-06-10T12:20:00+00:00,recorded_legacy,True,False,0.6800944686565874,2.0,0.178459037057903,1.1121861457886142,1.7233961883674382,0.0,-0.8878138542113858
ankara/2026-06-10,2026-06-10T12:50:00+00:00,recorded_legacy,False,False,0.13605547703538745,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
ankara/2026-06-10,2026-06-10T13:20:00+00:00,recorded_legacy,False,False,0.0016344386304641538,0.0,0.6367013493078436,0.19570152128873278,0.45145457274066536,1.0,0.19570152128873278
