cluster,ts,model,bucket,model_p,market_p,realized,event,consistency_residual
ankara/2026-05-16,2026-05-16T14:50:00+00:00,recorded_legacy,exact:21,0.0,0.05000000000000002,0,ankara/2026-05-16/2026-05-16T14:50:00+00:00,0.13326025275371
ankara/2026-05-16,2026-05-16T14:50:00+00:00,recorded_legacy,exact:22,0.0,0.004000000000000001,0,ankara/2026-05-16/2026-05-16T14:50:00+00:00,0.13326025275371
ankara/2026-05-16,2026-05-16T14:50:00+00:00,recorded_legacy,exact:23,0.0,0.0015000000000000005,0,ankara/2026-05-16/2026-05-16T14:50:00+00:00,0.13326025275371
ankara/2026-05-16,2026-05-16T15:20:00+00:00,recorded_legacy,exact:20,1.0,0.895,1,ankara/2026-05-16/2026-05-16T15:20:00+00:00,0.13326025275371
ankara/2026-05-16,2026-05-16T15:20:00+00:00,recorded_legacy,exact:21,0.0,0.05000000000000002,0,ankara/2026-05-16/2026-05-16T15:20:00+00:00,0.13326025275371
ankara/2026-05-16,2026-05-16T15:20:00+00:00,recorded_legacy,exact:22,0.0,0.004000000000000001,0,ankara/2026-05-16/2026-05-16T15:20:00+00:00,0.13326025275371
ankara/2026-05-16,2026-05-16T15:50:00+00:00,recorded_legacy,exact:20,1.0,0.9595,1,ankara/2026-05-16/2026-05-16T15:50:00+00:00,0.0031902882881751724
ankara/2026-05-16,2026-05-16T15:50:00+00:00,recorded_legacy,exact:21,0.0,0.034000000000000016,0,ankara/2026-05-16/2026-05-16T15:50:00+00:00,0.0031902882881751724
ankara/2026-05-16,2026-05-16T15:50:00+00:00,recorded_legacy,exact:22,0.0,0.0015000000000000005,0,ankara/2026-05-16/2026-05-16T15:50:00+00:00,0.0031902882881751724
ankara/2026-05-16,2026-05-16T16:20:00+00:00,recorded_legacy,exact:20,1.0,0.9984999999999999,1,ankara/2026-05-16/2026-05-16T16:20:00+00:00,0.0031902882881751724
ankara/2026-05-16,2026-05-16T16:20:00+00:00,recorded_legacy,exact:21,0.0,0.0015000000000000005,0,ankara/2026-05-16/2026-05-16T16:20:00+00:00,0.0031902882881751724
ankara/2026-05-16,2026-05-16T16:20:00+00:00,recorded_legacy,exact:22,0.0,0.004,0,ankara/2026-05-16/2026-05-16T16:20:00+00:00,0.0031902882881751724
ankara/2026-05-16,2026-05-16T16:50:00+00:00,recorded_legacy,exact:20,1.0,0.9984999999999999,1,ankara/2026-05-16/2026-05-16T16:50:00+00:00,0.0
ankara/2026-05-24,2026-05-24T11:50:00+00:00,recorded_legacy,exact:20,0.0,0.07050000000000001,0,ankara/2026-05-24/2026-05-24T11:50:00+00:00,0.5113729951415532
ankara/2026-05-24,2026-05-24T11:50:00+00:00,recorded_legacy,exact:21,0.0,0.006500000000000002,0,ankara/2026-05-24/2026-05-24T11:50:00+00:00,0.5113729951415532
ankara/2026-05-24,2026-05-24T11:50:00+00:00,recorded_legacy,exact:22,0.0,0.0020000000000000005,0,ankara/2026-05-24/2026-05-24T11:50:00+00:00,0.5113729951415532
ankara/2026-05-24,2026-05-24T11:50:00+00:00,recorded_legacy,higher:23,0,0.0020000000000000005,0,ankara/2026-05-24/2026-05-24T11:50:00+00:00,0.5113729951415532
ankara/2026-06-10,2026-06-10T12:20:00+00:00,recorded_legacy,below:22,0.9049,0.54,1,ankara/2026-06-10/2026-06-10T12:20:00+00:00,0.6800944686565874
ankara/2026-06-10,2026-06-10T12:20:00+00:00,recorded_legacy,exact:23,0.0945,0.345,0,ankara/2026-06-10/2026-06-10T12:20:00+00:00,0.6800944686565874
ankara/2026-06-10,2026-06-10T12:20:00+00:00,recorded_legacy,exact:24,0.0006,0.04500000000000001,0,ankara/2026-06-10/2026-06-10T12:20:00+00:00,0.6800944686565874
ankara/2026-06-10,2026-06-10T12:20:00+00:00,recorded_legacy,exact:25,0.0,0.017,0,ankara/2026-06-10/2026-06-10T12:20:00+00:00,0.6800944686565874
ankara/2026-06-10,2026-06-10T12:20:00+00:00,recorded_legacy,exact:27,0.0,0.0030000000000000005,0,ankara/2026-06-10/2026-06-10T12:20:00+00:00,0.6800944686565874
ankara/2026-06-10,2026-06-10T12:50:00+00:00,recorded_legacy,below:22,0.9971,0.8899999999999999,1,ankara/2026-06-10/2026-06-10T12:50:00+00:00,0.13605547703538745
ankara/2026-06-10,2026-06-10T12:50:00+00:00,recorded_legacy,exact:23,0.0029,0.08500000000000002,0,ankara/2026-06-10/2026-06-10T12:50:00+00:00,0.13605547703538745
ankara/2026-06-10,2026-06-10T12:50:00+00:00,recorded_legacy,exact:24,0.0,0.0095,0,ankara/2026-06-10/2026-06-10T12:50:00+00:00,0.13605547703538745
ankara/2026-06-10,2026-06-10T12:50:00+00:00,recorded_legacy,exact:25,0.0,0.0105,0,ankara/2026-06-10/2026-06-10T12:50:00+00:00,0.13605547703538745
ankara/2026-06-10,2026-06-10T12:50:00+00:00,recorded_legacy,exact:27,0.0,0.0020000000000000005,0,ankara/2026-06-10/2026-06-10T12:50:00+00:00,0.13605547703538745
ankara/2026-06-10,2026-06-10T13:20:00+00:00,recorded_legacy,below:22,1.0,0.925,1,ankara/2026-06-10/2026-06-10T13:20:00+00:00,0.0016344386304641538
ankara/2026-06-10,2026-06-10T13:20:00+00:00,recorded_legacy,exact:23,0.0,0.065,0,ankara/2026-06-10/2026-06-10T13:20:00+00:00,0.0016344386304641538
ankara/2026-06-10,2026-06-10T13:20:00+00:00,recorded_legacy,exact:24,0.0,0.009000000000000001,0,ankara/2026-06-10/2026-06-10T13:20:00+00:00,0.0016344386304641538
ankara/2026-06-10,2026-06-10T13:20:00+00:00,recorded_legacy,exact:25,0.0,0.0030000000000000005,0,ankara/2026-06-10/2026-06-10T13:20:00+00:00,0.0016344386304641538
ankara/2026-06-10,2026-06-10T13:20:00+00:00,recorded_legacy,exact:26,0.0,0.0015000000000000005,0,ankara/2026-06-10/2026-06-10T13:20:00+00:00,0.0016344386304641538
ankara/2026-06-10,2026-06-10T13:20:00+00:00,recorded_legacy,exact:27,0.0,0.0015000000000000005,0,ankara/2026-06-10/2026-06-10T13:20:00+00:00,0.0016344386304641538
ankara/2026-06-10,2026-06-10T13:50:00+00:00,recorded_legacy,below:22,1.0,0.985,1,ankara/2026-06-10/2026-06-10T13:50:00+00:00,0.0033936686511736314
ankara/2026-06-10,2026-06-10T13:50:00+00:00,recorded_legacy,exact:23,0.0,0.009000000000000001,0,ankara/2026-06-10/2026-06-10T13:50:00+00:00,0.0033936686511736314
ankara/2026-06-10,2026-06-10T14:20:00+00:00,recorded_legacy,below:22,1.0,0.993,1,ankara/2026-06-10/2026-06-10T14:20:00+00:00,0.00042904650856112614
ankara/2026-06-10,2026-06-10T14:20:00+00:00,recorded_legacy,exact:23,0.0,0.0045000000000000005,0,ankara/2026-06-10/2026-06-10T14:20:00+00:00,0.00042904650856112614
ankara/2026-06-10,2026-06-10T14:50:00+00:00,recorded_legacy,below:22,1.0,0.988,1,ankara/2026-06-10/2026-06-10T14:50:00+00:00,0.18164932534607814
ankara/2026-06-10,2026-06-10T14:50:00+00:00,recorded_legacy,exact:23,0.0,0.011500000000000002,0,ankara/2026-06-10/2026-06-10T14:50:00+00:00,0.18164932534607814
ankara/2026-06-11,2026-06-11T10:20:00+00:00,recorded_legacy,exact:25,0.0,0.016500000000000008,0,ankara/2026-06-11/2026-06-11T10:20:00+00:00,0.4109430174672261
ankara/2026-06-11,2026-06-11T10:20:00+00:00,recorded_legacy,exact:26,0.7177,0.33999999999999997,0,ankara/2026-06-11/2026-06-11T10:20:00+00:00,0.4109430174672261
